client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 1, ,250, test, 0.0,None, 26415307.0, 44190.0, 441908.0, 0, 1822, 10, 6.833, 3.865, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 1, ,250, test, 0.0,None, 26415307.0, 176181.0, 1761813.0, 1, 1822, 10, 6.038, 6.793, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 2, ,250, test, 0.36,None, 26415303.0, 43434.0, 434341.0, 0, 1776, 10, 6.882, 3.756, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 2, ,250, test, 0.48,None, 26415303.0, 173348.0, 1733487.0, 1, 1776, 10, 4.868, 6.81, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 3, ,250, test, 0.44,None, 26415307.0, 39777.0, 397770.0, 0, 1781, 10, 6.933, 3.89, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 3, ,250, test, 0.72,None, 26415307.0, 173879.0, 1738795.0, 1, 1781, 10, 4.958, 6.849, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 4, ,250, test, 0.58,None, 26415308.0, 38156.0, 381568.0, 0, 1777, 10, 4.679, 3.839, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 4, ,250, test, 0.72,None, 26415308.0, 173374.0, 1733741.0, 1, 1777, 10, 6.062, 6.95, 25, 34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1, 5, ,250, test, 0.6,None, 26415307.0, 36672.0, 366724.0, 0, 1778, 10, 7.121, 3.904, 25, 34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1, 5, ,250, test, 0.7,None, 26415307.0, 173590.0, 1735903.0, 1, 1778, 10, 4.806, 6.759, 25, 34
