client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 1, ,250, test, 0.0,None, 26415307.0, 40931.0, 409317.0, 0, 709, 10, 3.529, 4.624, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 1, ,250, test, 0.04,None, 6734276.0, 53249.0, 532497.0, 1, 709, 10, 2.165, 6.118, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 2, ,250, test, 0.48,None, 26415308.0, 43951.0, 439518.0, 0, 541, 10, 8.322, 4.027, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 2, ,250, test, 0.58,None, 6734279.0, 52094.0, 520944.0, 1, 541, 10, 3.023, 6.093, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 3, ,250, test, 0.54,None, 26415307.0, 46996.0, 469961.0, 0, 538, 10, 5.427, 4.059, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 3, ,250, test, 0.78,None, 6734278.0, 51801.0, 518011.0, 1, 538, 10, 2.289, 6.114, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 4, ,250, test, 0.6,None, 26415308.0, 48774.0, 487744.0, 0, 539, 10, 5.914, 4.179, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 4, ,250, test, 0.82,None, 6734280.0, 51892.0, 518926.0, 1, 539, 10, 2.773, 6.184, 6, 8
a810d26f-aad7-43fe-a750-a847127e10c8_1, 5, ,250, test, 0.86,None, 6734279.0, 51994.0, 519945.0, 1, 544, 10, 2.379, 6.055, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 5, ,250, test, 0.6,None, 26415305.0, 49517.0, 495177.0, 0, 544, 10, 5.422, 9.235, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 6, ,250, test, 0.88,None, 6734279.0, 52011.0, 520116.0, 1, 544, 10, 2.535, 6.001, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 6, ,250, test, 0.62,None, 26415304.0, 50089.0, 500891.0, 0, 544, 10, 4.947, 5.572, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 7, ,250, test, 0.88,None, 6734280.0, 52197.0, 521973.0, 1, 548, 10, 2.475, 5.994, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 7, ,250, test, 0.62,None, 26415307.0, 50507.0, 505079.0, 0, 548, 10, 4.904, 4.01, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 8, ,250, test, 0.88,None, 6734278.0, 52092.0, 520921.0, 1, 547, 10, 2.926, 6.16, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 8, ,250, test, 0.6,None, 26415302.0, 49742.0, 497420.0, 0, 547, 10, 4.341, 8.828, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 9, ,250, test, 0.88,None, 6734279.0, 52090.0, 520903.0, 1, 561, 10, 2.841, 6.049, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 9, ,250, test, 0.6,None, 26415308.0, 50611.0, 506113.0, 0, 561, 10, 4.847, 4.145, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 10, ,250, test, 0.88,None, 6734282.0, 52027.0, 520274.0, 1, 545, 10, 2.824, 6.087, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 10, ,250, test, 0.6,None, 26415304.0, 49964.0, 499648.0, 0, 545, 10, 5.718, 7.304, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 11, ,250, test, 0.22,None, 6734278.0, 51847.0, 518475.0, 1, 547, 10, 2.614, 6.453, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 11, ,250, test, 0.6,None, 26415308.0, 50543.0, 505432.0, 0, 547, 10, 4.811, 3.944, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 12, ,250, test, 0.72,None, 6734277.0, 51733.0, 517339.0, 1, 550, 10, 2.724, 5.995, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 12, ,250, test, 0.58,None, 26415308.0, 50636.0, 506362.0, 0, 550, 10, 5.433, 4.306, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 13, ,250, test, 0.78,None, 6734280.0, 52663.0, 526632.0, 1, 574, 10, 2.945, 6.489, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 13, ,250, test, 0.6,None, 26415306.0, 50331.0, 503310.0, 0, 574, 10, 5.654, 8.948, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 14, ,250, test, 0.84,None, 6734278.0, 51870.0, 518706.0, 1, 545, 10, 3.679, 6.142, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 14, ,250, test, 0.6,None, 26415306.0, 49759.0, 497598.0, 0, 545, 10, 5.279, 6.242, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 15, ,250, test, 0.86,None, 6734280.0, 51825.0, 518258.0, 1, 552, 10, 2.458, 5.983, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 15, ,250, test, 0.62,None, 26415306.0, 50933.0, 509335.0, 0, 552, 10, 5.417, 3.969, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 16, ,250, test, 0.86,None, 6734280.0, 52553.0, 525534.0, 1, 564, 10, 3.707, 6.58, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 16, ,250, test, 0.62,None, 26415306.0, 51446.0, 514469.0, 0, 564, 10, 9.984, 5.576, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 17, ,250, test, 0.86,None, 6734275.0, 52051.0, 520511.0, 1, 564, 10, 3.441, 6.076, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 17, ,250, test, 0.6,None, 26415308.0, 51866.0, 518665.0, 0, 564, 10, 7.558, 4.661, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 18, ,250, test, 0.86,None, 6734278.0, 52568.0, 525687.0, 1, 563, 10, 3.094, 5.998, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 18, ,250, test, 0.6,None, 26415307.0, 51772.0, 517725.0, 0, 563, 10, 7.396, 4.555, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 19, ,250, test, 0.86,None, 6734277.0, 52241.0, 522415.0, 1, 575, 10, 2.744, 5.979, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 19, ,250, test, 0.62,None, 26415309.0, 52554.0, 525546.0, 0, 575, 10, 6.131, 5.813, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 20, ,250, test, 0.86,None, 6734278.0, 51557.0, 515572.0, 1, 571, 10, 2.588, 6.493, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 20, ,250, test, 0.62,None, 26415305.0, 52309.0, 523099.0, 0, 571, 10, 7.49, 6.547, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 21, ,250, test, 0.86,None, 6734279.0, 51837.0, 518373.0, 1, 566, 10, 2.899, 6.02, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 21, ,250, test, 0.62,None, 26415308.0, 52026.0, 520262.0, 0, 566, 10, 6.154, 4.172, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 22, ,250, test, 0.86,None, 6734278.0, 52594.0, 525943.0, 1, 565, 10, 2.882, 6.188, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 22, ,250, test, 0.62,None, 26415305.0, 51953.0, 519531.0, 0, 565, 10, 7.694, 4.214, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 23, ,250, test, 0.86,None, 6734276.0, 52601.0, 526015.0, 1, 557, 10, 3.052, 6.675, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 23, ,250, test, 0.62,None, 26415305.0, 51201.0, 512011.0, 0, 557, 10, 5.347, 4.565, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 24, ,250, test, 0.86,None, 6734278.0, 51711.0, 517116.0, 1, 551, 10, 3.508, 6.175, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 24, ,250, test, 0.62,None, 26415306.0, 50510.0, 505106.0, 0, 551, 10, 6.74, 4.347, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 25, ,250, test, 0.86,None, 6734278.0, 52128.0, 521286.0, 1, 553, 10, 3.168, 6.647, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 25, ,250, test, 0.62,None, 26415308.0, 50642.0, 506424.0, 0, 553, 10, 7.142, 4.766, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 26, ,250, test, 0.86,None, 6734277.0, 51685.0, 516859.0, 1, 545, 10, 3.384, 6.298, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 26, ,250, test, 0.62,None, 26415306.0, 50123.0, 501231.0, 0, 545, 10, 5.624, 4.093, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 27, ,250, test, 0.86,None, 6734279.0, 52070.0, 520703.0, 1, 566, 10, 2.29, 5.921, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 27, ,250, test, 0.62,None, 26415308.0, 49969.0, 499690.0, 0, 566, 10, 6.303, 8.678, 25, 34
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 28, ,250, test, 0.62,None, 26415309.0, 48206.0, 482066.0, 0, 542, 10, 6.27, 4.644, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 28, ,250, test, 0.86,None, 6734278.0, 51765.0, 517652.0, 1, 542, 10, 2.399, 6.222, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 29, ,250, test, 0.62,None, 26415306.0, 47611.0, 476113.0, 0, 541, 10, 5.051, 5.085, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 29, ,250, test, 0.86,None, 6734281.0, 51784.0, 517841.0, 1, 541, 10, 3.934, 6.182, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 30, ,250, test, 0.62,None, 26415307.0, 46671.0, 466718.0, 0, 540, 10, 7.235, 4.62, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 30, ,250, test, 0.86,None, 6734278.0, 51867.0, 518670.0, 1, 540, 10, 2.453, 5.985, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 31, ,250, test, 0.62,None, 26415305.0, 46242.0, 462424.0, 0, 545, 10, 5.995, 5.282, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 31, ,250, test, 0.86,None, 6734276.0, 52220.0, 522204.0, 1, 545, 10, 3.576, 5.974, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 32, ,250, test, 0.62,None, 26415308.0, 45254.0, 452548.0, 0, 538, 10, 5.603, 4.131, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 32, ,250, test, 0.86,None, 6734281.0, 51612.0, 516124.0, 1, 538, 10, 3.578, 6.085, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 33, ,250, test, 0.62,None, 26415306.0, 45103.0, 451037.0, 0, 539, 10, 6.591, 4.586, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 33, ,250, test, 0.86,None, 6734279.0, 51621.0, 516211.0, 1, 539, 10, 4.046, 6.236, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 34, ,250, test, 0.62,None, 26415304.0, 44720.0, 447208.0, 0, 540, 10, 6.083, 5.734, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 34, ,250, test, 0.86,None, 6734281.0, 51804.0, 518041.0, 1, 540, 10, 2.516, 6.125, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 35, ,250, test, 0.62,None, 26415307.0, 45103.0, 451030.0, 0, 545, 10, 7.041, 4.293, 25, 34
a810d26f-aad7-43fe-a750-a847127e10c8_1, 35, ,250, test, 0.86,None, 6734273.0, 52089.0, 520892.0, 1, 545, 10, 3.347, 5.87, 6, 8
d2d501d6-1a5b-4c77-8b6c-8ff084263117_1, 36, ,250, test, 0.62,None, 26415305.0, 44347.0, 443476.0, 0, 543, 10, 4.67, None, 25, None
a810d26f-aad7-43fe-a750-a847127e10c8_1, 36, ,250, test, 0.86,None, 6734278.0, 52095.0, 520951.0, 1, 543, 10, 3.59, 5.942, 6, 8
842f9d18-bcac-4bce-9243-fabd3732fa4a_1, 37, ,250, test, 0.62,None, 26415308.0, 42003.0, 420032.0, 0, 2709, 10, 2.686, 3.931, 25, 34
80c62c4b-8569-4032-a1e2-1950a18c2b77_1, 37, ,250, test, 0.86,None, 6734281.0, 52054.0, 520545.0, 1, 2709, 10, 2.387, 6.153, 6, 8
842f9d18-bcac-4bce-9243-fabd3732fa4a_1, 38, ,250, test, 0.62,None, 26415306.0, 42861.0, 428617.0, 0, 545, 10, 4.672, 5.011, 25, 34
80c62c4b-8569-4032-a1e2-1950a18c2b77_1, 38, ,250, test, 0.86,None, 6734280.0, 52446.0, 524464.0, 1, 545, 10, 2.219, 6.659, 6, 8
842f9d18-bcac-4bce-9243-fabd3732fa4a_1, 39, ,250, test, 0.62,None, 26415309.0, 43902.0, 439020.0, 0, 567, 10, 5.651, 4.279, 25, 34
80c62c4b-8569-4032-a1e2-1950a18c2b77_1, 39, ,250, test, 0.86,None, 6734279.0, 51970.0, 519704.0, 1, 567, 10, 2.535, 6.664, 6, 8
842f9d18-bcac-4bce-9243-fabd3732fa4a_1, 40, ,250, test, 0.62,None, 26415309.0, 43711.0, 437111.0, 0, 541, 10, 4.847, 4.037, 25, 34
80c62c4b-8569-4032-a1e2-1950a18c2b77_1, 40, ,250, test, 0.86,None, 6734280.0, 52024.0, 520245.0, 1, 541, 10, 2.548, 6.5, 6, 8
842f9d18-bcac-4bce-9243-fabd3732fa4a_1, 41, ,250, test, 0.62,None, 26415304.0, 43569.0, 435694.0, 0, 544, 10, 6.293, 4.092, 25, 34
