client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
592d6444-4055-4b34-bdd3-605fe78917e1_1,1, ,250, test,0,None,26415306,50905,509052,0,1897,10,2.804,4.845,25,34
48819c4a-c1f7-433e-9914-b9fccfb535f1_1,1, ,250, test,0,None,26415306,183376,1833765,1,1897,10,5.114,7.91,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,2, ,250, test,0.36,None,26415302,49942,499421,0,1804,10,5.268,4.772,25,34
48819c4a-c1f7-433e-9914-b9fccfb535f1_1,2, ,250, test,0.48,None,26415302,175399,1753992,1,1804,10,7.109,8.263,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,3, ,250, test,0.44,None,26415304,46164,461649,0,1845,10,5.613,4.54,25,34
48819c4a-c1f7-433e-9914-b9fccfb535f1_1,3, ,250, test,0.72,None,26415304,179618,1796188,1,1845,10,7.269, None,25, None
592d6444-4055-4b34-bdd3-605fe78917e1_1,4, ,250, test,0.58,None,26415307,45828,458280,0,2320,10,6.333,4.357,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,4, ,250, test,0.72,None,26415307,185513,1855136,1,2320,10,4.737,8.05,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,5, ,250, test,0.6,None,26415309,45421,454217,0,1869,10,4.785,4.357,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,5, ,250, test,0.7,None,26415309,180941,1809416,1,1869,10,6.814,7.863,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,6, ,250, test,0.62,None,26415305,45554,455544,0,1999,10,7.453,4.518,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,6, ,250, test,0.74,None,26415305,194073,1940736,1,1999,10,6.914,8.425,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,7, ,250, test,0.62,None,26415308,46244,462443,0,1957,10,7.907,4.159,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,7, ,250, test,0.74,None,26415308,190565,1905652,1,1957,10,7.717,7.581,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,8, ,250, test,0.62,None,26415306,45723,457239,0,1893,10,7.604,5.353,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,8, ,250, test,0.78,None,26415306,183797,1837978,1,1893,10,7.954,7.91,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,9, ,250, test,0.62,None,26415307,44398,443986,0,1850,10,8.384,4.458,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,9, ,250, test,0.78,None,26415307,180189,1801891,1,1850,10,7.753,7.273,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,10, ,250, test,0.62,None,26415306,43877,438770,0,1824,10,13.171,8.715,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,10, ,250, test,0.8,None,26415306,176610,1766106,1,1824,10,4.527,7.71,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,11, ,250, test,0.62,None,26415307,42151,421512,0,1859,10,7.4,5.894,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,11, ,250, test,0.8,None,26415307,180604,1806046,1,1859,10,5.532,7.545,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,12, ,250, test,0.62,None,26415309,42076,420762,0,1852,10,8.009,4.632,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,12, ,250, test,0.82,None,26415309,179454,1794543,1,1852,10,5.862,7.292,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,13, ,250, test,0.62,None,26415308,42858,428582,0,1820,10,7.226,4.334,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,13, ,250, test,0.82,None,26415308,175764,1757646,1,1820,10,6.043,7.525,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,14, ,250, test,0.62,None,26415307,41598,415984,0,1887,10,7.873,4.512,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,14, ,250, test,0.84,None,26415307,182210,1822105,1,1887,10,7.289,7.491,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,15, ,250, test,0.62,None,26415306,41819,418190,0,1846,10,7.553,4.388,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,15, ,250, test,0.84,None,26415306,179714,1797149,1,1846,10,7.086,7.054,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,16, ,250, test,0.62,None,26415304,41187,411879,0,1879,10,7.66,4.895,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,16, ,250, test,0.82,None,26415304,183071,1830710,1,1879,10,6.641,7.353,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,17, ,250, test,0.62,None,26415308,41176,411767,0,1839,10,7.911,4.648,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,17, ,250, test,0.82,None,26415308,179134,1791341,1,1839,10,6.034,7.271,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,18, ,250, test,0.62,None,26415306,41169,411698,0,1862,10,7.31,4.485,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,18, ,250, test,0.82,None,26415306,180631,1806318,1,1862,10,6.385,7.067,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,19, ,250, test,0.62,None,26415307,40289,402895,0,1818,10,7.45,4.623,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,19, ,250, test,0.82,None,26415307,177039,1770399,1,1818,10,5.635,6.854,25,34
592d6444-4055-4b34-bdd3-605fe78917e1_1,20, ,250, test,0.62,None,26415309,40256,402564,0,1875,10,7.419,4.659,25,34
cff5b455-150d-4636-88cd-3902fac0a6ca_1,20, ,250, test,0.82,None,26415309,179763,1797633,1,1875,10,6.442,6.975,25,34
