client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,1, ,250, test,0.04,None,6734280,53096,530960,1,1338,10,2.585,6.15,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,1, ,250, test,0,None,26415306,42666,426669,0,1338,10,3.489,5.96,25,34
0715684d-62a9-4a91-829b-1a0ead59da97_1,2, ,250, test,0.48,None,26415306,46523,465233,0,544,10,4.695,6.597,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,2, ,250, test,0.6,None,6734281,52418,524187,1,544,10,2.265,6.054,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,3, ,250, test,0.52,None,26415307,48704,487049,0,541,10,5.083,7.636,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,3, ,250, test,0.76,None,6734279,51997,519973,1,541,10,2.426,6.587,6,8
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,4, ,250, test,0.8,None,6734279,53178,531780,1,560,10,2.302,6.408,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,4, ,250, test,0.56,None,26415304,50795,507955,0,560,10,5.386,13.436,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,5, ,250, test,0.86,None,6734277,52598,525983,1,627,10,2.512,10.025,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,5, ,250, test,0.6,None,26415309,52285,522855,0,627,10,6.095,65.334,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,6, ,250, test,0.86,None,6734277,52271,522715,1,583,10,8.463,6.371,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,6, ,250, test,0.6,None,26415307,50962,509622,0,583,10,33.032,7.242,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,7, ,250, test,0.88,None,6734278,53135,531359,1,574,10,2.054,6.348,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,7, ,250, test,0.62,None,26415308,52823,528237,0,574,10,4.934,6.939,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,8, ,250, test,0.88,None,6734274,52043,520435,1,582,10,2.213,6.325,6,8
0715684d-62a9-4a91-829b-1a0ead59da97_1,8, ,250, test,0.62,None,26415308,53071,530718,0,582,10,5.186,6.949,25,34
1a0453ce-e163-40e5-adcb-d3c9535c295b_1,9, ,250, test,0.88,None,6734281,52748,527483,1,601,10,2.19,6.01,6,8
