client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
afa1b247-220e-4371-9b9c-410ee804037c_1,1, ,250, test,0,None,26415305,33451,334517,0,1846,10,13.068,30.011,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,1, ,250, test,0,None,26415305,174728,1747283,1,1846,10,21.303,32.021,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,2, ,250, test,0.36,None,26415303,37041,370413,0,1987,10,24.889,14.01,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,2, ,250, test,0.48,None,26415303,174026,1740267,1,1987,10,9.506,17.29,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,3, ,250, test,0.44,None,26415307,38588,385884,0,1816,10,19.393,15.62,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,3, ,250, test,0.72,None,26415307,174548,1745486,1,1816,10,11.824,24.112,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,4, ,250, test,0.58,None,26415308,39536,395369,0,1803,10,33.75,15.568,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,4, ,250, test,0.72,None,26415308,173628,1736288,1,1803,10,13.205,18.811,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,5, ,250, test,0.6,None,26415307,39267,392679,0,1808,10,20.207,21.44,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,5, ,250, test,0.7,None,26415307,174068,1740687,1,1808,10,12.865,19.744,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,6, ,250, test,0.62,None,26415304,39199,391990,0,1811,10,19.515,17.445,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,6, ,250, test,0.74,None,26415304,174102,1741025,1,1811,10,15.498,20.166,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,7, ,250, test,0.62,None,26415306,39243,392434,0,1812,10,8.751,29.307,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,7, ,250, test,0.74,None,26415306,173523,1735233,1,1812,10,11.47,31.485,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,8, ,250, test,0.62,None,26415309,39648,396483,0,1835,10,38.022,21.123,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,8, ,250, test,0.78,None,26415309,174200,1742000,1,1835,10,38.568,19.432,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,9, ,250, test,0.62,None,26415306,40064,400646,0,1803,10,18.193,21.006,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,9, ,250, test,0.78,None,26415306,173816,1738161,1,1803,10,11.887,17.608,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,10, ,250, test,0.62,None,26415303,40073,400731,0,1805,10,20.782,14.33,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,10, ,250, test,0.8,None,26415303,173900,1739001,1,1805,10,15.047,16.559,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,11, ,250, test,0.62,None,26415306,40389,403893,0,1813,10,18.977,17.692,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,11, ,250, test,0.8,None,26415306,174402,1744023,1,1813,10,15.923,18.325,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,12, ,250, test,0.62,None,26415308,40887,408875,0,1823,10,26.186,15.849,25,34
f9e3ac9e-3089-4df6-a08c-527b85a7d2db_1,12, ,250, test,0.82,None,26415308,174241,1742411,1,1823,10,26.217,17.946,25,34
afa1b247-220e-4371-9b9c-410ee804037c_1,13, ,250, test,0.62,None,26415309,40505,405057,0,1812,10,23.967,13.555,25,34
