client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
048d498e-37b1-4e00-887b-791212c85e5c_1,1, ,250, test,0,None,26415306,57942,579426,0,977,10,27.238,19.541,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,1, ,250, test,0,None,26415306,91814,918142,1,977,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,2, ,250, test,0.62,None,26415304,42053,420530,0,948,10,18.635,12.544,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,2, ,250, test,0.26,None,26415304,91577,915778,1,948,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,3, ,250, test,0.62,None,26415307,41863,418636,0,941,10,20.092,15.604,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,3, ,250, test,0.26,None,26415307,91206,912069,1,941,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,4, ,250, test,0.62,None,26415306,41177,411776,0,939,10,17.727,13.325,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,4, ,250, test,0.26,None,26415306,91003,910036,1,939,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,5, ,250, test,0.62,None,26415308,46711,467118,0,936,10,16.991,11.786,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,5, ,250, test,0.26,None,26415308,90772,907724,1,936,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,6, ,250, test,0.62,None,26415307,42625,426252,0,940,10,20.756,12.495,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,6, ,250, test,0.26,None,26415307,91148,911480,1,940,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,7, ,250, test,0.62,None,26415308,44241,442410,0,938,10,17.267,11.959,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,7, ,250, test,0.26,None,26415308,91011,910115,1,938,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,8, ,250, test,0.62,None,26415305,43850,438505,0,944,10,17.147,11.798,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,8, ,250, test,0.26,None,26415305,91478,914781,1,944,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,9, ,250, test,0.62,None,26415306,41709,417093,0,948,10,17.952,11.357,25,34
94ba30c3-43ec-473d-bf8a-97cda5362ed7_1,9, ,250, test,0.26,None,26415306,91392,913927,1,948,10,10,10,10,10
048d498e-37b1-4e00-887b-791212c85e5c_1,10, ,250, test,0.62,None,26415308,45022,450224,0,939,10,7.724,11.872,25,34
