time,pressure_pss(MB),org.openmined.syft.demo_pss(MB),Active_Memory(MB),Cached_Memory(MB),Free_Memory(MB),SwapCached_Memory(MB),Inactive:,Active(anon):,Inactive(anon):,Active(file):, Inactive(file):,Unevictable:,Mlocked:,SwapTotal:,SwapFree:,Dirty:,Writeback:,AnonPages:,Mapped:,Shmem:,Slab:,SReclaimable:,SUnreclaim:,KernelStack:,PageTables:,NFS_Unstable:,Bounce:,WritebackTmp:,CommitLimit:,Committed_AS:,VmallocTotal:,VmallocUsed:,VmallocChunk:,totalPrivateClean,totalPrivateDirty,totalSharedClean,totalSharedDirty,totalSwappablePss
12:06:54,57,57,346,500,24,24,363,95,110,250,252,0,0,697,550,0,0,203,275,0,53,16,37,11,22,0,0,0,1162,15527,488,135,224,22,22,93,1,21,
12:06:55,57,57,346,500,25,24,363,95,110,251,252,0,0,697,550,0,0,203,275,0,53,16,37,11,22,0,0,0,1162,15528,488,135,224,22,22,93,1,21,
12:06:56,57,57,346,500,25,24,363,95,110,251,252,0,0,697,550,0,0,203,276,0,53,16,37,11,22,0,0,0,1162,15528,488,135,224,22,22,93,1,21,
12:06:57,57,57,346,500,24,24,363,95,110,251,252,0,0,697,550,0,0,203,276,0,53,16,37,11,22,0,0,0,1162,15528,488,135,224,22,23,93,1,21,
12:06:58,59,59,341,503,20,24,372,90,117,251,254,0,0,697,550,0,0,205,278,0,53,16,37,11,22,0,0,0,1162,15529,488,135,224,23,23,93,1,22,
12:06:59,62,63,339,506,21,24,375,85,120,253,255,0,0,697,550,0,0,203,284,0,53,16,37,11,22,0,0,0,1162,15526,488,135,224,28,21,94,1,27,
12:07:00,67,67,341,506,19,24,375,88,120,253,255,0,0,697,550,0,0,205,284,0,53,16,37,11,22,0,0,0,1162,15526,488,135,224,30,24,94,1,29,
12:07:01,68,68,341,503,20,24,375,88,122,253,253,0,0,697,550,0,0,207,284,0,53,16,37,11,22,0,0,0,1162,15526,488,135,224,30,25,94,1,29,
12:07:02,69,69,339,501,23,24,375,86,123,252,251,0,0,697,550,0,0,207,284,0,53,16,37,11,22,0,0,0,1162,15525,488,135,224,30,26,94,1,29,
12:07:03,70,69,340,501,22,24,375,87,123,252,251,0,0,697,550,0,0,208,284,0,53,16,37,11,22,0,0,0,1162,15525,488,135,224,30,27,94,1,29,
12:07:04,71,71,342,501,21,24,375,89,123,252,251,0,0,697,550,0,0,210,284,0,53,16,37,11,22,0,0,0,1162,15525,488,135,224,30,28,94,1,29,
12:07:05,72,72,336,496,30,24,371,84,123,251,247,0,0,697,550,0,0,206,273,0,53,16,37,10,21,0,0,0,1162,15488,488,130,224,30,29,94,1,29,
12:07:06,73,73,339,497,26,24,373,88,123,251,249,0,0,697,550,1,0,209,276,0,53,16,37,10,21,0,0,0,1162,15503,488,131,224,30,30,94,1,29,
12:07:07,87,80,331,486,33,24,376,86,131,245,244,0,0,697,550,6,0,215,275,0,53,16,37,10,21,0,0,0,1162,15538,488,131,224,30,44,94,1,29,
12:07:08,88,92,351,481,17,24,371,109,129,242,242,0,0,697,550,6,0,236,276,0,53,16,37,10,22,0,0,0,1162,15561,488,133,224,30,45,94,1,29,
12:07:09,104,94,343,458,36,24,361,117,126,226,234,0,0,697,550,0,0,241,280,0,53,16,37,10,22,0,0,0,1162,15543,488,133,224,32,59,94,1,31,
12:07:10,92,92,333,458,45,24,360,106,126,227,234,0,0,697,550,0,0,230,284,0,53,16,37,11,22,0,0,0,1162,15552,488,135,224,32,47,94,1,31,
12:07:11,97,96,337,460,41,24,362,109,126,227,235,0,0,697,550,0,0,233,286,0,53,16,37,11,22,0,0,0,1162,15544,488,135,224,34,50,94,1,33,
12:07:12,91,90,333,460,45,24,362,105,126,227,235,0,0,697,550,0,0,228,286,0,53,16,37,11,22,0,0,0,1162,15544,488,135,224,34,44,94,1,33,
12:07:13,89,105,335,460,43,24,361,107,126,227,235,0,0,697,550,0,0,231,286,0,53,16,37,11,22,0,0,0,1162,15541,488,135,224,34,42,94,1,33,
12:07:14,93,87,333,460,45,24,361,106,126,227,235,0,0,697,550,0,0,229,286,0,53,16,37,11,22,0,0,0,1162,15541,488,135,224,34,46,94,1,33,
12:07:15,111,111,349,460,30,24,362,121,126,227,235,0,0,697,550,0,0,244,286,0,53,16,37,11,22,0,0,0,1162,15541,488,135,224,34,64,94,1,33,
12:07:16,120,120,358,460,21,24,362,130,126,227,235,0,0,697,550,0,0,254,286,0,53,16,37,11,22,0,0,0,1162,15541,488,135,224,34,73,94,1,33,
12:07:17,121,121,354,460,24,24,362,126,126,227,235,0,0,697,550,0,0,250,286,0,53,16,37,11,22,0,0,0,1162,15540,488,135,224,34,73,94,1,33,
12:07:18,105,105,339,456,39,24,360,114,126,225,234,0,0,697,550,0,0,238,286,0,53,16,37,11,22,0,0,0,1162,15541,488,135,224,34,57,94,1,33,
12:07:19,108,108,340,456,40,24,360,114,126,225,234,0,0,697,550,0,0,238,286,0,53,16,37,11,22,0,0,0,1162,15541,488,135,224,34,61,94,1,33,
12:07:20,106,106,340,456,39,24,360,115,126,225,234,0,0,697,550,0,0,239,286,0,53,16,37,11,22,0,0,0,1162,15540,488,135,224,34,58,94,1,33,
12:07:21,112,112,338,456,40,24,360,113,126,225,234,0,0,697,550,0,0,237,286,0,53,16,37,11,22,0,0,0,1162,15553,488,135,224,34,65,94,1,33,
12:07:22,115,115,350,456,30,24,360,125,126,225,234,0,0,697,550,0,0,248,286,0,53,16,37,11,22,0,0,0,1162,15554,488,135,224,34,68,94,1,33,
12:07:23,115,115,350,456,30,24,360,125,126,225,234,0,0,697,550,0,0,249,286,0,53,16,37,11,22,0,0,0,1162,15554,488,135,224,34,68,94,1,33,
12:07:24,111,110,345,456,33,24,360,120,126,225,234,0,0,697,550,0,0,244,286,0,53,16,37,11,22,0,0,0,1162,15553,488,135,224,34,63,94,1,33,
12:07:25,112,111,347,456,32,24,360,121,126,225,234,0,0,697,550,0,0,245,286,0,53,16,37,11,22,0,0,0,1162,15553,488,135,224,34,65,94,1,33,
12:07:26,112,112,347,456,32,24,360,121,126,225,234,0,0,697,550,0,0,245,286,0,53,16,37,11,22,0,0,0,1162,15554,488,135,224,34,65,94,1,33,
12:07:27,117,117,352,456,26,24,360,127,126,225,234,0,0,697,550,0,0,251,286,0,53,16,37,11,22,0,0,0,1162,15566,488,135,224,34,70,94,1,33,
12:07:28,122,122,357,456,22,24,360,132,126,225,234,0,0,697,550,0,0,255,286,0,53,16,37,11,22,0,0,0,1162,15558,488,135,224,34,75,94,1,33,
