time,pressure_pss(MB),org.openmined.syft.demo_pss(MB),Active_Memory(MB),Cached_Memory(MB),Free_Memory(MB),SwapCached_Memory(MB),Inactive:,Active(anon):,Inactive(anon):,Active(file):, Inactive(file):,Unevictable:,Mlocked:,SwapTotal:,SwapFree:,Dirty:,Writeback:,AnonPages:,Mapped:,Shmem:,Slab:,SReclaimable:,SUnreclaim:,KernelStack:,PageTables:,NFS_Unstable:,Bounce:,WritebackTmp:,CommitLimit:,Committed_AS:,VmallocTotal:,VmallocUsed:,VmallocChunk:,totalPrivateClean,totalPrivateDirty,totalSharedClean,totalSharedDirty,totalSwappablePss
02:16:35,91,87,1123,1409,66,0,1009,605,163,517,846,95,91,508,503,0,0,768,660,1,108,40,68,29,38,0,0,0,1908,74100,245759,130,245541,9,77,42,14,9,
02:16:35,100,100,1126,1410,62,0,1010,608,163,518,847,95,91,508,503,0,0,771,661,1,108,40,68,29,38,0,0,0,1908,74100,245759,130,245541,10,84,42,14,10,
02:16:36,102,102,1129,1410,60,0,1010,611,163,518,847,95,91,508,503,0,0,773,661,1,108,40,68,29,38,0,0,0,1908,74101,245759,130,245541,10,86,42,14,10,
02:16:37,108,107,1128,1401,74,0,1001,609,163,518,838,95,91,508,503,0,0,771,660,1,108,40,68,29,38,0,0,0,1908,74101,245759,130,245541,10,92,43,14,10,
02:16:38,116,115,1138,1402,66,0,1001,619,162,518,838,95,91,508,503,0,0,780,659,1,108,39,68,29,38,0,0,0,1908,74101,245759,130,245541,10,100,43,14,10,
02:16:39,125,124,1148,1398,63,0,996,628,162,519,833,95,91,508,503,0,0,790,659,1,108,39,68,29,38,0,0,0,1908,74101,245759,130,245541,10,109,43,14,10,
02:16:40,146,148,1212,1387,53,0,957,662,164,549,792,95,91,508,502,25,0,825,660,1,108,40,68,29,38,0,0,0,1908,74106,245759,130,245541,11,129,43,14,11,
02:16:41,170,154,1203,1375,74,0,947,652,168,550,779,95,91,508,501,25,0,819,660,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,11,153,43,14,11,
02:16:42,231,231,1281,1334,56,0,899,715,177,565,722,95,91,508,500,25,0,892,661,1,108,40,68,29,38,0,0,0,1908,74106,245759,130,245541,12,213,43,14,12,
02:16:43,205,204,1253,1334,83,0,900,687,178,565,721,95,91,508,500,0,0,864,661,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,12,186,43,14,12,
02:16:44,163,158,1215,1334,121,0,900,649,178,565,721,95,91,508,500,0,0,827,661,1,108,40,68,29,38,0,0,0,1908,74106,245759,130,245541,12,145,43,14,12,
02:16:45,221,221,1268,1334,67,0,900,702,178,565,722,95,91,508,500,0,0,880,662,1,108,40,68,29,38,0,0,0,1908,74106,245759,130,245541,13,202,43,14,13,
02:16:46,248,222,1283,1321,64,0,889,717,181,566,707,95,91,508,500,0,0,897,662,1,108,40,68,29,38,0,0,0,1908,74106,245759,130,245541,13,230,43,14,13,
02:16:47,238,238,1283,1321,64,0,889,717,181,566,707,95,91,508,500,0,0,897,662,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:48,238,238,1292,1303,88,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,219,43,14,13,
02:16:50,238,238,1292,1303,89,0,860,713,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:51,238,238,1292,1303,88,0,860,713,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:51,264,248,1291,1303,90,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,245,43,14,13,
02:16:53,238,238,1291,1303,89,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:54,238,238,1291,1303,90,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,219,43,14,13,
02:16:54,238,238,1291,1303,89,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:55,238,238,1291,1303,89,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:57,238,238,1291,1303,89,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74105,245759,130,245541,13,220,43,14,13,
02:16:57,238,238,1291,1303,89,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74104,245759,130,245541,13,220,43,14,13,
02:16:58,245,238,1291,1303,89,0,860,712,184,579,675,95,91,508,499,0,0,896,658,1,108,40,68,29,38,0,0,0,1908,74104,245759,130,245541,13,227,43,14,13,
02:16:59,237,234,1291,1303,90,0,860,711,184,579,675,95,91,508,499,0,0,895,658,1,108,40,68,29,38,0,0,0,1908,74104,245759,130,245541,13,218,43,14,13,
02:17:00,268,242,1283,1303,100,0,859,703,184,580,674,95,91,508,499,0,0,886,636,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,249,43,14,13,
02:17:01,237,237,1280,1303,104,0,859,699,184,580,674,95,91,508,499,0,0,883,636,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,218,43,14,13,
02:17:02,242,242,1307,1303,78,0,859,726,184,580,674,95,91,508,499,0,0,894,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,223,43,14,13,
02:17:03,234,234,1278,1304,107,0,859,697,184,580,674,95,91,508,499,0,0,881,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,216,43,14,13,
02:17:04,238,238,1279,1304,106,0,859,698,184,580,674,95,91,508,499,0,0,882,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,220,43,14,13,
02:17:05,236,236,1272,1304,113,0,859,691,184,580,674,95,91,508,499,0,0,875,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,218,43,14,13,
02:17:06,238,238,1274,1304,111,0,859,693,184,580,674,95,91,508,499,0,0,876,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,219,43,14,13,
02:17:07,234,234,1271,1304,114,0,859,690,184,580,674,95,91,508,499,0,0,874,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,216,43,14,13,
02:17:08,240,239,1275,1304,110,0,859,694,184,580,674,95,91,508,499,0,0,878,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,221,43,14,13,
02:17:09,241,266,1276,1304,108,0,859,695,184,580,674,95,91,508,499,0,0,878,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,222,43,14,13,
02:17:10,248,251,1283,1304,102,0,859,702,184,580,674,95,91,508,499,0,0,886,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,230,43,14,13,
02:17:11,281,256,1290,1304,95,0,859,709,184,580,674,95,91,508,499,0,0,893,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,263,43,14,13,
02:17:12,240,240,1277,1304,107,0,859,696,184,580,674,95,91,508,499,0,0,879,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,222,43,14,13,
02:17:13,264,245,1280,1304,104,0,859,699,184,580,674,95,91,508,499,0,0,883,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,245,43,14,13,
02:17:14,240,240,1275,1304,110,0,859,694,184,580,674,95,91,508,499,0,0,878,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,222,43,14,13,
02:17:15,245,245,1280,1304,105,0,859,699,184,580,674,95,91,508,499,0,0,883,636,1,108,40,67,28,37,0,0,0,1908,70826,245759,128,245541,13,227,43,14,13,
02:17:16,246,246,1280,1304,104,0,859,699,184,580,674,95,91,508,499,0,0,883,636,1,108,40,67,28,37,0,0,0,1908,70827,245759,128,245541,13,227,43,14,13,
02:17:17,242,242,1277,1304,108,0,859,696,184,580,674,95,91,508,499,0,0,880,636,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,224,43,14,13,
02:17:18,242,267,1276,1304,108,0,859,695,184,580,674,95,91,508,499,0,0,879,636,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,223,43,14,13,
02:17:19,242,239,1278,1311,100,0,866,697,184,580,681,95,91,508,499,0,0,881,637,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,223,43,14,13,
02:17:20,242,242,1278,1311,99,0,866,697,184,580,681,95,91,508,499,0,0,881,637,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,223,43,14,13,
02:17:21,237,220,1274,1311,104,0,866,693,184,580,681,95,91,508,499,0,0,877,637,1,108,40,67,28,37,0,0,0,1908,70828,245759,128,245541,13,219,43,14,13,
