client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,1, ,250, test,0,None,26415307,44190,441908,0,1822,10,6.833,3.865,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,1, ,250, test,0,None,26415307,176181,1761813,1,1822,10,6.038,6.793,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,2, ,250, test,0.36,None,26415303,43434,434341,0,1776,10,6.882,3.756,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,2, ,250, test,0.48,None,26415303,173348,1733487,1,1776,10,4.868,6.81,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,3, ,250, test,0.44,None,26415307,39777,397770,0,1781,10,6.933,3.89,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,3, ,250, test,0.72,None,26415307,173879,1738795,1,1781,10,4.958,6.849,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,4, ,250, test,0.58,None,26415308,38156,381568,0,1777,10,4.679,3.839,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,4, ,250, test,0.72,None,26415308,173374,1733741,1,1777,10,6.062,6.95,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,5, ,250, test,0.6,None,26415307,36672,366724,0,1778,10,7.121,3.904,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,5, ,250, test,0.7,None,26415307,173590,1735903,1,1778,10,4.806,6.759,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,6, ,250, test,0.62,None,26415304,35844,358442,0,1782,10,3.466,3.873,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,6, ,250, test,0.74,None,26415304,173763,1737632,1,1782,10,6.149,6.871,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,7, ,250, test,0.62,None,26415306,34640,346405,0,1780,10,6.637,3.793,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,7, ,250, test,0.74,None,26415306,173643,1736438,1,1780,10,6.525,6.728,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,8, ,250, test,0.62,None,26415309,35842,358425,0,1782,10,6.875,7.287,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,8, ,250, test,0.78,None,26415309,173987,1739870,1,1782,10,4.989,6.927,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,9, ,250, test,0.62,None,26415306,34058,340587,0,1781,10,7.018,3.834,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,9, ,250, test,0.78,None,26415306,173916,1739163,1,1781,10,4.56,6.673,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,10, ,250, test,0.62,None,26415303,33986,339869,0,1778,10,6.85,3.964,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,10, ,250, test,0.8,None,26415303,173476,1734769,1,1778,10,5.459,6.667,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,11, ,250, test,0.62,None,26415306,33197,331975,0,1785,10,6.806,3.727,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,11, ,250, test,0.8,None,26415306,174283,1742837,1,1785,10,5.77,6.757,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,12, ,250, test,0.62,None,26415308,33148,331484,0,1788,10,7.148,3.913,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,12, ,250, test,0.82,None,26415308,174611,1746112,1,1788,10,4.727,6.686,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,13, ,250, test,0.62,None,26415309,32972,329720,0,1784,10,5.733,3.904,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,13, ,250, test,0.82,None,26415309,173932,1739321,1,1784,10,6.461,6.935,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,14, ,250, test,0.62,None,26415302,32664,326649,0,1780,10,6.987,3.685,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,14, ,250, test,0.84,None,26415302,173707,1737076,1,1780,10,6.079,6.64,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,15, ,250, test,0.62,None,26415306,34623,346239,0,1779,10,6.011,3.822,25,34
d92184eb-d5f1-4c73-8dea-d379881e4dde_1,15, ,250, test,0.84,None,26415306,173450,1734506,1,1779,10,6.47,7.464,25,34
17f1d5bb-cbb6-445b-b85c-e1d13ddd199d_1,16, ,250, test,0.62,None,26415306,31991,319912,0,1781,10,7.1,3.852,25,34
