client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,1, ,250, test,0.04,None,6734281,52134,521344,1,839,10,61.592,90.552,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,1, ,250, test,0,None,26415305,43731,437313,0,839,10,13.808,18.151,25,34
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,2, ,250, test,0.48,None,26415306,50348,503487,0,695,10,12.459,17.392,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,2, ,250, test,0.64,None,6734281,52889,528898,1,695,10,58.619,90.237,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,3, ,250, test,0.54,None,26415307,49067,490670,0,719,10,11.485,17.426,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,3, ,250, test,0.78,None,6734279,54373,543730,1,719,10,61.309,98.364,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,4, ,250, test,0.64,None,26415304,51006,510062,0,697,10,12.073,17.733,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,4, ,250, test,0.82,None,6734279,52192,521921,1,697,10,60.556,98.616,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,5, ,250, test,0.62,None,26415309,51600,516009,0,694,10,11.755,23.406,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,5, ,250, test,0.84,None,6734277,53013,530137,1,694,10,57.756,90.767,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,6, ,250, test,0.62,None,26415307,51934,519341,0,686,10,11.417,17.494,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,6, ,250, test,0.86,None,6734277,52663,526633,1,686,10,57.543,85.707,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,7, ,250, test,0.62,None,26415308,51635,516357,0,694,10,12.978,19.011,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,7, ,250, test,0.88,None,6734278,52546,525469,1,694,10,61.78,90.132,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,8, ,250, test,0.62,None,26415308,51396,513963,0,687,10,14.103,18.319,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,8, ,250, test,0.88,None,6734274,52647,526479,1,687,10,57.369,86.407,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,9, ,250, test,0.62,None,26415305,50734,507349,0,691,10,13.194,18.342,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,9, ,250, test,0.88,None,6734281,52829,528292,1,691,10,59.395,86.116,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,10, ,250, test,0.62,None,26415308,54193,541936,0,700,10,12.096,18.304,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,10, ,250, test,0.88,None,6734276,53108,531083,1,700,10,58.292,95.015,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,11, ,250, test,0.62,None,26415307,50545,505450,0,695,10,12.069,18.169,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,11, ,250, test,0.24,None,6734278,53257,532579,1,695,10,57.588,88.285,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,12, ,250, test,0.56,None,26415307,49267,492676,0,689,10,12.109,19.597,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,12, ,250, test,0.72,None,6734280,52454,524540,1,689,10,57.354,90.66,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,13, ,250, test,0.58,None,26415309,48571,485713,0,693,10,11.659,17.063,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,13, ,250, test,0.78,None,6734278,52927,529272,1,693,10,60.504,86.897,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,14, ,250, test,0.6,None,26415306,48378,483788,0,685,10,11.87,17.804,25,34
d1a20173-e0d0-4f99-8388-ac9d4f80fdd8_1,14, ,250, test,0.84,None,6734280,52327,523273,1,685,10,57.65,87.528,6,8
0d117dcf-aee8-4b53-9212-173203dbe3f3_1,15, ,250, test,0.62,None,26415306,48172,481725,0,689,10,12.205,17.952,25,34
