client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,1, ,250, test,0,None,26415307,54669,546691,0,1957,10,11.345,18.127,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,1, ,250, test,0,None,26415307,179719,1797191,1,1957,10,44.122,64.411,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,2, ,250, test,0.36,None,26415303,56076,560765,0,1886,10,11.138,18.332,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,2, ,250, test,0.48,None,26415303,173908,1739080,1,1886,10,47.209,65.518,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,3, ,250, test,0.44,None,26415307,57774,577742,0,1903,10,11.59,18.276,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,3, ,250, test,0.72,None,26415307,175821,1758217,1,1903,10,44.156,65.277,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,4, ,250, test,0.58,None,26415308,58866,588662,0,1883,10,11.192,17.387,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,4, ,250, test,0.72,None,26415308,173952,1739529,1,1883,10,43.597,65.254,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,5, ,250, test,0.6,None,26415307,55102,551029,0,1886,10,11.009,17.638,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,5, ,250, test,0.7,None,26415307,174403,1744033,1,1886,10,43.739,64.431,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,6, ,250, test,0.62,None,26415304,50780,507801,0,1885,10,11.087,18.752,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,6, ,250, test,0.74,None,26415304,173998,1739989,1,1885,10,44.175,65.976,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,7, ,250, test,0.62,None,26415306,49261,492617,0,1888,10,11.132,17.724,25,34
c10e63c9-259b-41c0-a7e5-b46b3740b652_1,7, ,250, test,0.74,None,26415306,174567,1745674,1,1888,10,43.679,64.647,25,34
261e5d0e-71a5-4c2c-b3dd-ca0ee836a5d4_1,8, ,250, test,0.62,None,26415309,47950,479507,0,1892,10,11.2,19.567,25,34
